Origin,Exact source,Cell_Type,Geneset_Enrichment,hs_protein,hs_gene,hs.total.genes,mm_protein,mm_gene,mm.total.genes,DOI
GOBP,GO:0002725,T cell,GOBP_NEGATIVE_REGULATION_OF_T_CELL_CYTOKINE_PRODUCTION,,LILRB4;TBX21;HFE;HLA-F;IFNA2;IFNB1;ARG1;SMAD7;FOXP3;XCL1;SLAMF1,11,,,,
GOBP,GO:0045581,T cell,GOBP_NEGATIVE_REGULATION_OF_T_CELL_DIFFERENTIATION,,FGL2;LILRB4;RC3H1;CTLA4;DTX1;ERBB2;FOXJ1;TMEM131L;GLI3;IFNL1;TBX21;ANXA1;HLX;HMGB1;CLEC4G;IFNA2;IFNB1;IHH;IL2;IL4;IL4R;IRF1;JAK3;LAG3;MIR21;MIR30B;SMAD7;MDK;NRARP;FOXP3;ZBTB7B;RC3H2;PTPN2;RAG2;BCL6;SHH;BMP4;SLC4A2;PRDX2;TNFSF4;ZC3H12A;ZC3H8;LOXL3;RUNX1;RUNX3;CBFB;SOCS1;TNFSF18;SOCS5;CD74,50,,,,
GOBP,GO:0033085,T cell,GOBP_NEGATIVE_REGULATION_OF_T_CELL_DIFFERENTIATION_IN_THYMUS,,ERBB2;FOXJ1;TMEM131L;CLEC4G;IHH;PTPN2;RAG2;SHH;BMP4;ZC3H8,10,,,,
GOBP,GO:0001915,T cell,GOBP_NEGATIVE_REGULATION_OF_T_CELL_MEDIATED_CYTOTOXICITY,,LILRB1;FCGR2B;NCKAP1L;HLA-G;IL7R;KLRC1;KLRD1;PPP3CB;PTPRC;CEACAM1,10,,,,
GOBP,GO:0002710,T cell,GOBP_NEGATIVE_REGULATION_OF_T_CELL_MEDIATED_IMMUNITY,,LILRB1;LILRB4;AHR;FCGR2B;IL4I1;TBX21;NCKAP1L;HFE;HLA-F;HLA-G;CLEC4G;IFNA2;IFNB1;IL7R;KLRC1;KLRD1;ARG1;SMAD7;FOXP3;IL20RB;PPP3CB;DUSP22;PTPRC;CEACAM1;XCL1;NOD2;SLAMF1,27,,,,
GOBP,GO:2000405,T cell,GOBP_NEGATIVE_REGULATION_OF_T_CELL_MIGRATION,,CD200R1;LRCH1;APOD;CD200;IL27RA;RIPOR2,6,,,,
GOBP,GO:0042130,T cell,GOBP_NEGATIVE_REGULATION_OF_T_CELL_PROLIFERATION,,TSPAN32;LILRB2;BTN2A2;GPNMB;CEBPB;LILRB1;LILRB4;GLMN;VSIG4;CR1;RC3H1;CTLA4;DLG1;ERBB2;FOXJ1;TMEM131L;SCRIB;IL4I1;LRRC32;PLA2G2D;TNFRSF21;LGALS9B;CD274;PLA2G2E;HLA-DRB1;HLA-G;CLEC4G;IHH;IL2RA;IL10;IDO1;ARG1;ARG2;LGALS9;MIR181C;PAWR;FOXP3;ZBTB7B;PLA2G2A;PLA2G5;IL20RB;PRKAR1A;PRNP;CRTAM;TWSG1;PELI1;PTPN6;XCL1;SDC4;VSIR;SFTPD;PLA2G2F;SHH;MARCHF7;BMP4;SLC4A2;LGALS9C;SPN;SCGB1A1;VTCN1;PDCD1LG2;NDFIP1;CASP3;ITCH;MAD1L1;HAVCR2;PDE5A;CBLB;TNFRSF14;DLG5;CD80;CD86,72,,,,
GOBP,GO:0050860,T cell,GOBP_NEGATIVE_REGULATION_OF_T_CELL_RECEPTOR_SIGNALING_PATHWAY,,BTN2A2;LILRB4;CD160;DUSP3;ELF1;PTPN22;GBP1;PHPT1;LGALS3;SH2D1A;PAWR;UBASH3A;PRNP;DUSP22;PTPN2;PTPN6;PTPRJ;CEACAM1;THY1;EZR;LAPTM5;PVRIG;SLA2;DGKZ;CBLB,25,,,,
GOBP,GO:2000317,T cell,GOBP_NEGATIVE_REGULATION_OF_T_HELPER_17_TYPE_IMMUNE_RESPONSE,,RC3H1;TBX21;IL2;IL4;SMAD7;FOXP3;ZBTB7B;RC3H2;ZC3H12A;LOXL3;TNFSF18;IL27RA,12,,,,
GOBP,GO:0002826,T cell,GOBP_NEGATIVE_REGULATION_OF_T_HELPER_1_TYPE_IMMUNE_RESPONSE,,IL4R;JAK3;XCL1;TNFSF4;HAVCR2;IL33;IL1RL1,7,,,,
GOBP,GO:0045623,T cell,GOBP_NEGATIVE_REGULATION_OF_T_HELPER_CELL_DIFFERENTIATION,,RC3H1;TBX21;ANXA1;HLX;IL2;IL4;IL4R;JAK3;SMAD7;FOXP3;ZBTB7B;RC3H2;BCL6;TNFSF4;ZC3H12A;LOXL3;TNFSF18;SOCS5,18,,,,
GOBP,GO:0043383,T cell,GOBP_NEGATIVE_T_CELL_SELECTION,,CCR7;DOCK2;GLI3;AIRE;THEMIS;PTPRC;SHH;ZAP70;CD3E;CD28;ATG5;CD74,12,,,,
GOBP,GO:0051132,NKT,GOBP_NK_T_CELL_ACTIVATION,,HSPH1;CD300A;IL23R;ELF4;IL12A;IL12B;IL15;IL18;JAK2;ZBTB7B;IL23A;RASAL3;TYK2,13,,,,
GOBP,GO:0001865,NKT,GOBP_NK_T_CELL_DIFFERENTIATION,,ATF2;ZNF683;ITK;ZBTB7B;PRDM1;TGFBR2;ZBTB16;AP3B1;AP3D1;TOX,10,,,,
GOBP,GO:0001866,NKT,GOBP_NK_T_CELL_PROLIFERATION,,ELF4;IL12B;IL15;IL18;JAK2;ZBTB7B;IL23A;RASAL3;TYK2,9,,,,
GOBP,GO:0042104,T cell,GOBP_POSITIVE_REGULATION_OF_ACTIVATED_T_CELL_PROLIFERATION,,CD24;HHLA2;TMIGD2;IL23R;AGER;EPO;ICOSLG;PYCARD;HMGB1;IGF1;IGF2;IGFBP2;IL2;IL2RA;IL12B;IL12RB1;IL18;JAK3;MIR21;MIR30B;IL23A;PPP3CA;GPAM;RPS3;SLAMF1;STAT5B;TNFSF9;FADD,28,,,,
